,date,k_level,year,ds_level,date_month_day,k_dif,ds_dif
0,1976-10-01,-210.99,1976,-398.95,1/10,0.0,0.0
1,1976-10-08,-211.03,1976,,8/10,-0.03999999999999204,
2,1976-10-15,-211.09,1976,,15/10,-0.09999999999999432,
3,1976-10-22,-211.12,1976,,22/10,-0.12999999999999545,
4,1976-10-29,-211.15,1976,,29/10,-0.1599999999999966,
5,1976-11-01,,1976,-399.01,1/11,,-0.060000000000002274
6,1976-11-05,-211.2,1976,,5/11,-0.20999999999997954,
7,1976-11-12,-211.23,1976,,12/11,-0.23999999999998067,
8,1976-11-19,-211.27,1976,,19/11,-0.28000000000000114,
9,1976-11-26,-211.22,1976,,26/11,-0.22999999999998977,
10,1976-11-28,-211.17,1976,,28/11,-0.1799999999999784,
11,1976-11-30,-211.09,1976,,30/11,-0.09999999999999432,
12,1976-12-01,,1976,-399.12,1/12,,-0.17000000000001592
13,1976-12-03,-211.06,1976,,3/12,-0.06999999999999318,
14,1976-12-10,-211.02,1976,,10/12,-0.030000000000001137,
15,1976-12-17,-210.99,1976,,17/12,0.0,
16,1976-12-24,-210.98,1976,,24/12,0.010000000000019327,
17,1976-12-31,-210.88,1976,,31/12,0.11000000000001364,
18,1977-01-01,,1977,-399.05,1/1,,-0.10000000000002274
19,1977-01-07,-210.81,1977,,7/1,0.18000000000000682,
20,1977-01-14,-210.8,1977,,14/1,0.18999999999999773,
21,1977-01-17,-210.78,1977,,17/1,0.21000000000000796,
22,1977-01-20,-210.72,1977,,20/1,0.27000000000001023,
23,1977-01-21,-210.65,1977,,21/1,0.3400000000000034,
24,1977-01-25,-210.56,1977,,25/1,0.4300000000000068,
25,1977-01-28,-210.54,1977,,28/1,0.45000000000001705,
26,1977-02-01,-210.51,1977,-399.04,1/2,0.4800000000000182,-0.09000000000003183
27,1977-02-04,-210.46,1977,,4/2,0.5300000000000011,
28,1977-02-07,-210.4,1977,,7/2,0.5900000000000034,
29,1977-02-09,-210.32,1977,,9/2,0.6700000000000159,
30,1977-02-11,-210.26,1977,,11/2,0.7300000000000182,
31,1977-02-13,-210.23,1977,,13/2,0.7600000000000193,
32,1977-02-15,-210.2,1977,,15/2,0.7900000000000205,
33,1977-02-18,-210.15,1977,,18/2,0.8400000000000034,
34,1977-02-23,-210.12,1977,,23/2,0.8700000000000045,
35,1977-02-25,-210.1,1977,,25/2,0.8900000000000148,
36,1977-03-01,,1977,-399.04,1/3,,-0.09000000000003183
37,1977-03-04,-210.05,1977,,4/3,0.9399999999999977,
38,1977-03-11,-209.93,1977,,11/3,1.0600000000000023,
39,1977-03-18,-209.82,1977,,18/3,1.170000000000016,
40,1977-03-25,-209.72,1977,,25/3,1.2700000000000102,
41,1977-04-01,,1977,-399.05,1/4,,-0.10000000000002274
42,1977-04-05,-209.67,1977,,5/4,1.3200000000000216,
43,1977-04-08,-209.67,1977,,8/4,1.3200000000000216,
44,1977-04-15,-209.62,1977,,15/4,1.3700000000000045,
45,1977-04-22,-209.54,1977,,22/4,1.450000000000017,
46,1977-04-29,-209.44,1977,,29/4,1.5500000000000114,
47,1977-05-01,,1977,-399.01,1/5,,-0.060000000000002274
48,1977-05-06,-209.38,1977,,6/5,1.6100000000000136,
49,1977-05-13,-209.36,1977,,13/5,1.6299999999999955,
50,1977-05-20,-209.36,1977,,20/5,1.6299999999999955,
